cLambda FITC,CD117 PE,CD20 PE-CF594,CD138 PC5.5,CD27 PC7,cKappa APC,CD45 A700,CD38 A750,CD56 BV421,CD19 BV510
115.478195,16.5481701,749.894226,763.506104,117.574326,1.0,1.0,4782.85791,7.4317956,4.03151941
889.649109,29.1637764,437.14447,445.079407,55.2315826,342.891144,777.365051,770.404419,25.2547894,28.3873596
130.974731,33.9820824,577.721802,278.812653,16.8485489,153.992645,1.0,1553.83984,1.0,1.91095293
365.174133,16.253149,588.208435,78.438858,88.1683044,116.521545,1.0,1144.44189,1.0,7.56669521
59.3522911,88.1683044,156.787888,114.444191,151.247253,1.0,140.74646,2053.52515,11.6521549,6.67142725
913.981689,30.2321301,547.3703,42.9351006,31.622776,1.0,6.55248833,3684.73486,10.3663292,19.1095295
4067.94434,1.0,7.84388542,770.404419,36.8473511,25.945528,1.0,3522.69458,1.0,9.38979816
87.3788376,68.5389557,212.875168,1433.01257,67.3170395,1.0,70.4135513,2813.31763,10.8431692,4.49100733
1207.90076,49.5806808,14.9892969,770.404419,21.0969048,1.0,4.14178467,1045.9989,5.00286484,10.9411383
763.506104,156.787888,39.5964508,749.894226,148.550797,1.0,1.0,2689.59888,1.86007845,14.4595995
620.824341,19.1095295,784.38855,71.6916809,37.1802673,1.0,1.0,3554.52246,4.2169652,17.1543789
1084.31702,12.6346292,582.941528,155.383987,52.8027153,1.0,1.0,4104.69824,7.4317956,8.3536253
210.969055,35.5452232,991.045837,283.873596,23.9279919,13.9486198,1.0,973.37738,7.4317956,8.50525856
176.235641,19.8095684,199.885483,216.739212,7.84388542,84.291008,1.0,2414.41821,7.23394156,4.3714447
243.62326,34.5989151,191.095291,1309.74731,1.0,39.5964508,77.7365036,1610.76147,2.71389937,19.8095684
378.551514,15.2613783,643.566956,218.697464,25.2547894,1.0,1.0,4491.00732,9.38979816,1.0
685.389587,19.9885483,97.337738,1345.56982,78.438858,56.7422104,89.7687149,1998.85486,8.73788357,14.9892969
209.080002,12.5214968,1134.19446,165.481705,5.77721786,96.4661636,10.3663292,991.045837,1.0,18.7688427
528.027161,38.5422897,873.78833,98.217186,42.169651,1.0,1.0,4613.83984,8.05842209,1.94564009
205.352509,5.37611771,1876.88428,1055.44958,91.3981705,186.007843,53.7611732,2329.09668,1.0,1.0
3428.91138,1.0,32.7812119,842.910095,278.812653,1.0,82.7882614,1345.56982,1.0,13.5772715
1263.46289,21.6739216,45.3158379,425.506561,30.2321301,18.6007843,1.0,3278.12109,1.0,11.139739
4410.94092,1.0,46.9758873,1027.35071,10.2735081,1.0,21.0969048,2053.52515,1.0,9.73377419
667.1427,24.8045444,35.866375,88.1683044,1.09411383,8.65964317,1.0,1610.76147,6.26433516,12.6346292
2525.479,2.78812671,17.0007763,1485.50806,57.254879,1.0,1.0,4216.96484,6.20824337,1.0
1459.02417,71.0497437,121.881416,509.367523,24.1441822,1.0,1.0,3337.62476,7.29930067,10.7460785
465.552582,30.5052795,342.891144,620.824341,32.4876823,1.0,1.0,2738.41968,4.91367292,1.0
1715.43787,1.0,75.666954,60.4296379,12.5214968,66.1169052,27.6316147,1134.19446,1.0,9.30572033
2267.08984,25.945528,73.652504,53.279789,56.7422104,110.399918,1.0,1582.04468,1.51247251,8.27882576
381.971741,38.1971741,84.291008,205.352509,313.39621,19.9885483,11.6521549,495.806824,5.32797909,6.79252529
2641.64844,1.0,1.0,241.441818,1.0,1.0,1.0,1910.953,5.47370338,8.42910099
186.007843,25.2547894,378.551514,1345.56982,2.39279914,88.9649124,19.8095684,2414.41821,1.89384198,1.0
547.3703,28.6438408,39.5964508,537.611755,1.0,62.6433525,31.0590019,1639.99963,1.0,19.2821846
842.910095,10.3663292,152.613785,45.7252655,13.2158089,14.3301258,44.1094093,964.661621,11.97085,3.55452228
375.161926,26.8959885,31.622776,791.475525,121.881416,1.0,33.3762474,3078.0896,7.56669521,8.89649105
73.652504,56.2341309,827.882568,547.3703,37.1802673,1.0,1.0,4293.51025,4.65552616,1.91095293
1298.01965,1.0,7169.16797,144.595993,122.98262,48.6967506,6.91582108,2267.08984,7.77365017,3.55452228
77.0404358,67.3170395,57.254879,254.829681,276.316132,1.0,1.0,3337.62476,7.23394156,7.29930067
873.78833,29.6931477,1420.18115,241.441818,168.485489,1.0,1.0,2838.73608,6.04296398,14.5902424
243.62326,37.1802673,20.3513756,95.6023865,20.5352497,1.0,1.0,2713.89941,7.4317956,22.4679012
62.0824356,159.63385,35.5452232,791.475525,144.595993,1.0,1.0,2996.14282,8.27882576,17.1543789
155.383987,48.2607155,1229.82617,125.214966,50.0286446,237.137375,1.0,2571.3208,1.0,8.13123035
2072.07861,16.6976852,129.801956,349.115204,1.0,17.0007763,9.13981724,3651.74121,1.38237226,4.74003172
3819.71753,1.0,171.543793,1928.21851,1.0,52.8027153,1.0,2502.86548,1.0,3.19084907
1229.82617,13.455699,218.697464,385.422882,6.91582108,1.0,1.0,2329.09668,7.29930067,7.29930067
1553.83984,4.10469818,196.321899,947.463501,89.7687149,100.903503,119.708504,2458.24414,1.94564009,16.8485489
210.969055,23.0824146,2864.38403,361.904297,179.434631,1.0,1.0,2713.89941,5.1396966,5.98885441
604.296387,63.2093391,22.0673409,905.797791,1.0,34.9115181,13.455699,1309.74731,1.2634629,33.3762474
1240.93774,32.7812119,46.5552597,352.26947,41.0469856,1.0,1.0,2641.64844,7.4317956,6.37804365
3651.74121,20.1691456,57.7721786,52.3299103,10.7460785,1.0,20.9080009,3651.74121,1.0,48.2607155
749.894226,46.5552597,149.89296,283.873596,143.301254,52.3299103,1.0,1165.21545,2.83873606,10.9411383
3924.1897,1.0,39.9542046,71.0497437,85.0525818,162.531479,1.0,2226.67212,4.29351044,17.4657612
93.8979797,46.5552597,5048.06592,697.830566,237.137375,1.0,1.0,4031.51929,6.73170376,1.0
777.365051,29.1637764,44.9100723,547.3703,102.735077,116.521545,48.6967506,3995.42065,5.88208437,7.98626566
302.321289,22.0673409,1064.9856,82.7882614,38.8905182,1.0,1.0,3050.52783,12.2982626,6.79252529
378.551514,33.0773926,805.842163,77.0404358,73.652504,1.0,1.0,2713.89941,3.78551531,4.69758892
1229.82617,27.6316147,241.441818,299.614288,46.1383972,24.1441822,64.9381638,3105.90015,6.32093382,10.4599895
1240.93774,24.8045444,196.321899,296.931488,145.90242,1.0,5.28027153,2072.07861,4.53158379,4.06794453
486.967529,130.974731,73.652504,64.3566971,3.2196784,1.0,1.0,2763.16138,10.4599895,13.5772715
763.506104,1.96321905,1582.04468,254.829681,64.9381638,1.0,1.0,2109.69043,5.32797909,1.0
1009.03503,20.5352497,421.696503,88.1683044,13.2158089,1.0,1.0,2371.37378,5.57306051,10.0903502
1567.87878,52.8027153,41.792057,181.055832,95.6023865,392.418976,1286.39697,1009.03503,18.9384193,27.3841972
1055.44958,14.3301258,14.2018118,130.974731,11.7574329,10.0,19.8095684,1154.78198,5.37611771,4.65552616
532.797913,89.7687149,110.399918,330.773926,99.1045837,11.8636618,11.97085,500.286469,4.53158379,17.6235638
500.286469,34.5989151,1027.35071,83.5362549,2.32909656,1.0,1.0,1700.07764,3.2196784,1.89384198
557.30603,16.1076145,283.873596,250.286545,9.73377419,361.904297,32.4876823,3219.67847,1.0,4.49100733
2371.37378,29.1637764,73.652504,850.525818,114.444191,2.35014009,1.0,2571.3208,1.42018116,10.4599895
1113.97388,18.1055832,207.20787,3278.12109,124.093773,283.873596,237.137375,2890.26392,2.94272709,19.1095295
805.842163,9.30572033,45.3158379,429.351013,42.169651,1.0,1.0,2308.24146,3.13396215,2.76316142
1485.50806,9.91045856,36.5174141,177.827942,85.0525818,228.757324,18.7688427,1794.34619,1.66976845,7.4317956
339.820831,1.0,736.525024,1746.57605,94.7463531,1.0,84.291008,3995.42065,7.77365017,1.0
1000.0,93.0572052,38.8905182,1036.63293,122.98262,1.0,1.0,3398.20825,6.91582108,7.10497427
103.663292,3.7516191,342.891144,90.5797806,10.6498566,1.0,85.8210373,820.469604,13.0974722,1.0
1298.01965,18.7688427,102.735077,1045.9989,24.1441822,90.5797806,42.9351006,2571.3208,1.0,3.49115205
